TIPO;REGISTRO_SANITARIO;NOMBRE_COMERCIAL;"NOMBRE_GENERICO	";FORMA_FARMACEUTICA;CONCENTRACION;LABORATORIO;BAJO_LICENCIA;PARA_TERCEROS;PAIS_ORIGEN;EMPRESA_PROVEEDORA
II;44945;L-ARGININE 500MG;CLORHIDRATO DE ARGININA;CAPSULA;500MG;MASON VITAMINS. INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;45012;DR. BELL;TERBINAFINA;SPRAY;1%;"APEX DRUG HOUSE
";/;SOUTH AMERICAN  EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;45013;PARACETAMOL 1G;PARACETAMOL;COMPRIMIDO;1G;JAYWIN REMEDIES PVT. LTD.;/;SANAT PHARMA S.R.L.;INDIA;SANAT PHARMA S.R.L.
II;45051;DR. BELL;TERBINAFINA;CREMA;1%;APEX DRUG HOUSE;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;45110;POVIDONA YODADA 10%;POVIDONA YODODA;UNGUENTO;10%;LABORATORIO GALENICO CALIFAR;/;/;BOLIVIA;CALIFAR
II;45187;SELENIUM 50;SELENIO;TABLETA;50µG;INTERNATIONAL VITAMIN CORPORATION;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
NN;45282;ÁCIDO BÓRICO;ÁCIDO BÓRICO;POLVO;100 %;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
II;45366;GOLPEX;DICLOFENACO DIETILAMINA;SPRAY;1.16%;RHR MEDICARE PVT. LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;45873;CALCIO 600 + D3;"CALCIO; VITAMINA D";TABLETA;600 mg-200 UI;ALFA VITAMINS LABORATORIES, INC ;ALFA VITAMINS LABORATORIES INC.;;ESTADOS UNIDOS DE AMÉRICA;A3TEK S.R.L.
NN;46221;DOLOTERM® i;IBUPROFENO;SUSPENSIÓN ORAL (GOTAS);50MG/1ML;LABORATORIOS FARMACÉUTICOS LAFAR S.A;/;/;BOLIVIA;LABORATORIOS FARMACEUTICOS  LAFAR S.A.
II;46255;FORTALEX PRENATAL DHA;VER FORMULA;CAPSULA BLANDA;VER FORMULA;SOFTGEL HEALTHCARE PVT. LTD;/;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.);INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
NN;46619;ALUMAG®;"MAGALDRATO; SIMETICONA";TABLETA MASTICABLE;"800MG; 100MG";DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;46732;KETOFAR® GEL;KETOPROFENO;GEL;2.5G;LABORATORIOS FARMACEUTICOS LAFAR S.A.;/;/;BOLIVIA;LABORATORIOS FARMACEUTICOS  LAFAR S.A.
NN;46733;ANTIFLAT® PLUS;HIDROXIDO DE ALUMINIO - HIDROXIDO DE MAGNESIO - SIMETICIONA USP;SUSPENSION ORAL;"200mg;200mg;30mg/5ml";LABORATORIOS FARMACÉUTICOS LAFAR S.A.;/;/;BOLIVIA;LABORATORIOS FARMACEUTICOS  LAFAR S.A.
NN;46859;ALUMAG®;MAGALDRATO + SIMETICONA;SUSPENSIÓN;400MG+50MG/5ML;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
II;46865;ANTIACIDOX;SIMETICONA, HIDROXIDO DE ALUMINIO Y MAGNESIO;COMPRIMIDO MASTICABLE;"25;200;200 mg";LABORATORIO PRATER S.A.;/;FARMACORP S.A.;CHILE;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
NN;47194;PARACETAMOL 125MG/5ML;PARACETAMOL;JARABE;125 MG/5ML;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;47332;"VASELINA SOLIDA ""SQF""";VASELINA BLANCA;POMADA;100%;"SOLUCIONES QUIMICAS Y FARMACEUTICAS ""SOLQUIFAR S.R.L.""";/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR
NN;47380;"ALCOHOL ETILICO 70° ""SQF""";ALCOHOL ETILICO;SOLUCION;70%;SOLUCIONES QUIMICAS Y FARMACEUTICAS-SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR
NN;47395;"VASELINA LIQUIDA ""SQF""";ACEITE MINERAL LIVIANO;SOLUCION;100%;SOLUCIONES QUIMICAS Y FARMACEUTICAS-SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR
II;47400;MAGNESIUM 250;OXIDO DE MAGNESIO Y GLUCONATO DE MAGNESIO(MAGNESIO);TABLETA;250MG;INTERNATIONAL VITAMIN CORPORATION;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
NN;47429;"POVIDINE IODINE ""SQF""";POVIDONA YODADA;SOLUCION TOPICA;10%;"SOLUCIONES QUIMICAS Y FARMACEUTICAS ""SOLQUIFAR S.R.L.""";/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR
NN;47430;"GLICERINA ""SQF""";GLICERINA BIDESTILADA USP;SOLUCION;99,5%;SOLUCIONES QUIMICAS Y FARMACEUTICAS SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR
NN;47760;ZINC 20MG;SULFATO DE ZINC MONOHIDRATO EQUIVALENTE A ZINC ELEMENTAL.;JARABE;20MG/5ML;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;48042;IBUPROFENO 100 USP;IBUPROFENO;SUSPENSIÓN;100MG/5ML;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A COFAR S.A.;/;/;BOLIVIA;"LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. ""COFAR S.A."""
II;48100;VITAMINA E;VITAMINA E;CAPSULA BLANDA;1000 U.I.;SOFTGEL HEALTHCARE PRIVATE LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;48115;TOTALFLU COMPUESTO CON CLORFENAMINA;PARACETAMOL,NOSCAPINA,CAFEINA, AC. ASC.,CLORFENAM;POLVO PARA SOLUCION;VER FORMULA;MINTLAB CO. S.A.;/;/;CHILE;ESPECIALIDADES FARMACEUTICAS LTDA.
PNI;48118;CIRUELAX® FORTE;EXTRACTO SECO CASSIA ANGUSTIFOLIA VAHL (SEN)IA;COMPRIMIDO RECUBIERTO;125MG;GARDEN HOUSE FARMACEUTICA S.A.;/;/;CHILE;MEGALABS BOLIVIA S.R.L.
PNI;48126;CIRUELAX® JARABE 0,25 % P/V;EXTRACTO SECO DE HOJAS DE CASSIA ANGUSTIFOLIA VAHL;JARABE;250MG;LABORATORIOS GARDEN HOUSE FARMACEUTICA;/;/;CHILE;MEGALABS BOLIVIA S.R.L.
PNI;48127;CIRUELAX MINITABS;ESTRACTO DE HOJAS SECAS DE ACASSIA ANGUSTIOFOLIA;COMPRIMIDO RECUBIERTO;75MG;LABORATORIOS GARDEN HOUSE FARMACEUTICA S.A.;/;/;CHILE;MEGALABS BOLIVIA S.R.L.
NN;48468;"ALCOHOL YODADO 1% ""SQF""";YODO;SOLUCION HIDROALCOHOLICA;1%;SOLUCIONES QUIMICAS Y FARMACEUTICAS SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR S.R.L.
NN;48469;"AGUA OXIGENADA DE 10 VOL. ""SQF""";PERÓXIDO DE HIDROGENO;SOLUCION;3 %;SOLUCIONES QUIMICAS Y FARMACEUTICAS SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLQUIFAR S.R.L.
NN;48473;"TINTURA DE YODO 2% ""SQF""";SOLUCION YODADA;SOLUCION HIDROALCOHOLICA;2%;SOLUCIONES  QUIMICAS Y FARMACEUTICAS  SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR
NN;48474;"TINTURA DE YODO 5% ""SQF""";SOLUCION YODADA 5%;SOLUCION HIDROALCOHOLICA;5%;SOLUCIONES QUIMICAS Y FARMACEUTICAS SOLQUIFAR S.R.L.;/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR S.R.L.
NN;48527;"SEQUITO ""SQF""";OXIDO DE ZINC;PASTA;22,5%;"SOLUCIONES QUIMICAS Y FARMACEUTICAS ""SOLQUIFAR S.R.L.""";/;/;BOLIVIA;SOLUCIONES QUIMICAS Y FARMACEUTICOS SOLQUIFAR S.R.L.
NN;48639;PARACETAMOL 1G;PARACETAMOL;COMPRIMIDO RECUBIERTO;1 G;LABORATORIO HAHNEMANN S.R.L.;/;/;BOLIVIA;LABORATORIO HAHNEMANN S.R.L.
NN;48644;TINTURA DE YODO;YODO RESUBLIMADO;TINTURA;2%;IFARBO LTDA.;/;/;BOLIVIA;IFARBO LTDA.
II;48940;MEDICASP®;KETOCONAZOL;SHAMPOO;1%;AAA COSMETICA S.A. DE C.V.;/;GENOMMA LABORATORIES MEXICO S.A. DE C.V.;MEXICO;GLB LABORATORIOS BOLIVIA S.A.
NN;48979;IBUPROFENO 200;IBUPROFENO;SUSPENSION;200MG/5ML;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. COFAR S.A;/;/;BOLIVIA;"LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. ""COFAR S.A."""
NN;52075;BENZOSAR;BENZOATO DE BENCILO;LOCION;25%;LABORATORIOS MINERVA S.R.L.;/;/;BOLIVIA;LABORATORIOS QUIMICO FARMACEUTICOS MINERVA S.
II;53069;CN RENAL SABOR DULCE DE LECHE;"PROTEINAS; LIPIDOS; HIDRATOS DE CARBONO; VITAMINAS";POLVO;VARIAS;COMPAÑIA CIBELES S.A;/;/;URUGUAY;COSIN LTDA.
II;53499;CN PEDIATRICO STANDARD CON FIBRA SABOR VAINILLA;PROTEINAS,LIPIDOS,HIDRATOS DE C,VITAMINAS,MINERALE;POLVO;VER FORMULA;COMPAÑIA CIBELES S.A.;/;/;URUGUAY;COSIN LTDA.
II;54241;CITINERV;OLIGOELEMENTOS , VITAMINAS;POLVO P/RECONS.A SOL.ORAL;VER REVERSO;BIODUE S.P.A.;/;/;ITALIA;PROMEDICAL S.A.
PTA;54274;CALENDULA POMADA NATURAL;CALENDULA OFFICINALIS L.;POMADA;25 %;FLOR DE ORO;/;/;BOLIVIA;FLOR DE ORO
PTA;54482;ARNICA POMADA NATURAL;ARNICA;POMADA;25%;FLOR DE ORO;/;/;BOLIVIA;FLOR DE ORO
II;54903;BIOTEARS;"HIPROMELOSA; DEXTRAN 70";SOLUCIÓN OFTÁLMICA;"0.3%; 1%";VITALINE S.A.C.;/;LABORATORIOS LANSIER S.A.C.;PERU;PROMEDICAL S.A.
NN;54988;FLAVICOLD® PLUS DIA;"PARACETAMOL;PSEUDOEFEDRINA+DEXTROMETORFAN+CAFEINA";POLVO GRANULADO;"650MG; 60MG; 30MG; 4";LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
NN;54998;FLAVICOLD® PLUS NIÑOS;PARACETAMOL+PSEUDOEFEDRINA + CLORFENIRAMINA+DEXTRO;POLVO GRANULADO;325MG/30MG/2MG/15MG/;LABORATORIOS DE COS.Y FARMOQ.S.A.COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COS.Y FARMQ.S.A. COFAR S.A.
II;55331;OMEGA 3;ACEITE DE PESCADO;CÁPSULA BLANDA;1000MG;ALFA VITAMINS LABORATORIES INC.;/;A3TEK SRL;ESTADOS UNIDOS;A3TEK S.R.L.
II;55347;VITAMIN A;VITAMINA A;CÁPSULA BLANDA;10.000 UI;ALFA VITAMINS LABORATORIES INC;;;ESTADOS UNIDOS;A3TEK S.R.L.
II;55590;ACUAFIL®;"DEXTRAN 70; HIDROXIPROPILMETILCELULOSA";SOLUCIÓN OFTÁLMICA;"1MG; 0,5MG/ML";LABORATORIO DE PRODUCTOS ÉTICOS C.E.I.S.A.;/;/;PARAGUAY;LABORATORIOS ALFA S.A.
NN;55592;SULFITOL;"SULFATO FERROSO; VITAMINA C; ACIDO FOLICO";GOTAS;"125MG;30MG;0.25MG";"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L.";/;/;BOLIVIA;"INDUSTRIAS TORRICO ANTELO ""ITA"" S.R.L."
II;55626;SANATUSIN ANTITUSIVO ADULTO DIA/NOCHE;VER FÓRMULA;JARABE;VER FÓRMULA;CENTAUR PHARMACEUTICALS PVT. LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;55637;VITREOIAL;VITAMINAS, MINERALES;POLVO P/RECONS A SOL ORAL;VARIAS;BIODUE S.P.A;/;/;ITALIA;PROMEDICAL S.A.
II;56023;FOSNERVAN;VER FORMULA;JARABE;VER FORMULA;GUAYAKI S.A.;/;/;PARAGUAY;KAIS
NN;56233;CARMELO;VER FÓRMULA;POLVO P/RECONST.;VER FÓRMULA;INDUSTRIA QUIMICO FARMACEUTICA SIGMA CORP S.R.L.;/;/;BOLIVIA;IND. QUIMICA FARMACEUTICA SIGMA CORP SRL
II;56427;SANATUSIN ANTITUSIVO PEDIATRICO BC DIA/NOCHE;VER FORMULA;JARABE;VER FORMULA;CENTAUR PHARMACEUTICALS PVT.LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;56643;APETITOL JALEA;MULTIVITAMINICO;JALEA;VARIAS;LABORATORIO NEOFARMACO DEL ECUADOR NEOFARMACO CIA.LTD;/;/;ECUADOR;MEDIFARM S.R.L.
II;56929;DESINFLAMEX GEL;DICLOFENACO SÓDICO;GEL;1%;LAB.NEOFARMACO DEL ECUADOR NEOFARMACO CIA LTD.;/;/;ECUADOR;MEDIFARM S.R.L.
NN;56958;CANESZOL FEMENINO;CLOTRIMAZOL;CREMA VAGINAL;200MG/100G;LABORATORIOS COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
NN;57326;NEURO®VIMIN;VITAMINA B1,B2,B6 , AMIDA NICOTINICA,CALCIO.......;JARABE;VARIOS;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
PNI;57458;CIRUELAX FORTE;EXTRACTO SECO DE HOJAS DE CASSIA ANGUSTIFOLIA V.;JALEA;2G;LABORATORIOS GARDEN HOUSE FARMACEUTICA S.A.;/;/;CHILE;MEGALABS BOLIVIA S.R.L.
II;57743;CHROMIUM PICOLINATE 200;PICOLINATO DE CROMO;TABLETA;200MCG;NUTRA MANUFACTURING LLC.;/;GENERAL NUTRITION CORPORATION;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;57744;VITAMIN E 1000 IU;VITAMINA E;CÁPSULA BLANDA;1000 UI;NUTRA MANUFACTURING LLC.;/;GENERAL NUTRITION CORPORATION;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;57745;VITAMIN D-3 400 UI;COLECALCIFEROL;TABLETA;400UI;NUTRA MANUFACTURING LLC;/;GENERAL NUTRITION CORPORATION;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
PNI;57792;GINKGO BILOBA 60MG;GINKGO BILOBA;CÁPSULA;60MG;NUTRA MANUFACTURING LLC;/;GENERAL NUTRITION CORPORATION;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;57874;GALCINC;SULFATO DE ZINC;COMPRIMIDO DISPERSABLE;20MG;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
II;57902;COMPLEJO B;"VITAMINA B1; VITAMINA B6; VITAMINA B12";CÁPSULA;"20MG; 15MG; 20MCG";JIANGSU RUINIAN QIANJIN PHARMACEUTICAL CO., LTD.;/;UNIVERSAL PHARMA;CHINA;UNIVERSAL PHARMA
II;57923;SALES DE REHIDRATACION;VER FORMULA;POLVO;VER FORMULA;SHANDONG SHENGLU PHARMACEUTICAL CO.,LTD;/;/;CHINA;KADILA PHARMACEUTICALS S.R.L.
II;57924;ZINC;ZINC SULFATO;TABLETA DISPERSABLE;20MG;"SHANDONG SHENGLU PHARMACEUTICAL CO., LTD.
";/;/;CHINA;KADILA PHARMACEUTICALS S.R.L.
II;57965;DICLOFENACO 1%;DICLOFENACO DIETILAMINA;GEL;1%;JIANGXI XIER KANGTAI PHARMACEUTICAL CO., LTD;/;/;CHINA;KADILA PHARMACEUTICALS S.R.L.
II;57968;DAYAMINERAL;VER FORMULA;JARABE;VER FORMULA;ABBOTT LABORATORIES ARGENTINA S.A.;/;/;ARGENTINA;PHARMATECH BOLIVIANA S.A.
II;58089;DIAMAX;VITAMINAS A,B1,B2,B3,B5,B6,B9,B12,D3,E;TABLETA;VER FÓRMULA;JIANGSU RUINIAN QIANJIN PHARMACEUTICAL CO., LTD.;/;UNIVERSAL PHARMA;CHINA;UNIVERSAL PHARMA
II;58183;NASOXY;CLORURO DE SODIO;SOLUCION NASAL;0.9%;LAB. RETY DE COLOMBIA S.A.- RETYCOL S.A.;/;/;COLOMBIA;MEGALABS BOLIVIA S.R.L.
NN;58352;PHYTOHELMINTH;LATEX DE PAPAYA;CÁPSULA;333 mg;IND.QUIMICO FARMACEUTICA SIGMA CORP SRL;/;/;BOLIVIA;IND. QUIMICA FARMACEUTICA SIGMA CORP SRL
II;58354;LUBREX;VER FÓRMULA;SOLUCIÓN OFTÁLMICA;VER FÓRMULA;CENTAUR PHARMACEUTICALS PVT LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;58469;SAW PALMETTO FORMULA;SERENOA REPENS. MINERALES Y HERBALES;TABLETA;/;NUTRA MANUFACTURING LLC.;/;GNC HOLDINGS LLC;ESTADOS UNIDOS;FARMACIAS CORPORATIVAS S.A. FARMACORP S.A.
II;58470;SICA - NUMB;CLORHIDRATO DE LIDOCAINA;GEL;2% P/V;BRASSICA PHARMA PVT.LTD.;/;VEROS HEALTHCARE PVT.LTD.;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
NN;58721;PROPOLEOS EXTRACTO ESTANDARIZADO;PROPOLEO;SOLUCION;13%;GRUPO EMPRESARIAL VALENCIA S.R.L.;/;/;BOLIVIA;GRUPO EMPRESARIAL VALENCIA S.R.L.
NN;58722;ANTIGRIPAL;PARACETAMOL-CLORFENAMINA MALEATO-PSEUDOEFEDRINA;COMPRIMIDO RECUBIERTO;500MG, 2MG, 30MG;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
PNI;58730;COLCLEANSER;PLANTAS HERBACEAS;CAPSULA;VER FORMULA;ALFA VITAMINS LABORATORIES, INC.;/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;58733;POTASSIUM;CLORURO DE POTASIO;TABLETA;99MG;ALFA VITAMINS LABORATORIES INC;/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;58741;MAGNESIUM EFFERVESCENT TABLETS;CARBONATO DE MAGNESIO;TABLETA EFERVESCENTE;200MG;KRÜGER GMBH&CO.KG;/;/;ALEMANIA;NUTRIMED NUTRICION Y MEDICINA
NN;58744;GLICERINA;GLICERINA;SOLUCIÓN;100%;LABORATORIO GALÉNICO CALIFAR;/;/;BOLIVIA;CALIFAR
II;59183;MEMORIN;VARIOS.;CAPSULA;VARIOS;"ALFA VITAMINS LABORATORIES INC.







";/;/;ESTADOS UNIDOS;A3TEK S.R.L.
NN;59185;DEHIDROLIT® 75;CLOR.DE SODIO+CLOR.DE POTASIO+CITR. DE SODIO+DEXTR;POLVO;0,65G+0,375G+0,725G+;DROGUERIA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;59232;MIEL ROSADA TELCHI LITEL;ACIDO BORICO;SOLUCION;3%;TELCHI LITEL LTDA.;/;/;BOLIVIA;TELCHI  LITEL LTDA.
II;59276;SANATUSIN NASAL;VER FORMULA;SOLUCION;VER FORMULA;HERBAPEX BOTANICALS  PVT. LTD.;/;SOUTH AMERICAN EXPRESS S.A.;INDIA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;59484;MAGNESIUM + B6;"MAGNESIO; VITAMINA B6";TABLETA;300 mg, 50 mg;"ALFA VITAMINS LABORATORIES INC
";/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;59646;MUCOFALK ORANGE;ISPAGHUALA HUSK (PLANTAGO OVATA);GRANULADO;3,25 G;LOSAN PHARMA GmbH.;DR.FALK PHARMA GmbH;ACONDICIONADOR PRIMARIO Y SECUNDARIO LOSAN PHARMA GMBH WERK ESCHBACH;ALEMANIA;SCHMIDTS PHARMA S.R.L.
II;59727;BIOGAIA® PROTECTIS® GOTAS;LACTOBACILLUS REUTERI PROTECTIS;SUSPENSION ORAL EN GOTAS;1x10^8;BIOGAIA PRODUCTION AB;/;BIOGAIA AB;SUECIA;PHARMATECH BOLIVIANA S.A.
II;59731;CIBELES NUTRITION MODULO CALORICO;MALTODEXTRINA;POLVO PARA SUSPENSION;100%;COMPAÑIA CIBELES S.A.;/;/;URUGUAY;COMPAÑIA DE SERVICIOS INTERNACIONALES LIMITADA COSIN LTDA.
PTA;59782;VALEX PLUS;VALERIANA;TINTURA;100% TINT VALERIANA;SUMA JAKASIÑA- VIVIR BIEN;/;/;BOLIVIA;SUMA JAKASIÑA - VIVIR BIEN
II;59887;GASTRO GEL;MAGALDRATO + SIMETICONA;SUSPENSIÓN;800MG + 60MG/10ML;LABORATORIO NEOFARMACO DEL ECUADOR NEOFARMACO CIA. LTD;/;/;ECUADOR;MEDIFARM S.R.L.
II;60320;MULTI SUPER C PACKED;VER FORMULA;POLVO;VER FORMULA;ALFA VITAMINS LABORATORIES, INC.;/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;60462;IRON;HIERRO GLUCONATO-VITAMINA C-ACIDO FOLICO,VIT B12;TABLETA EFERVESCENTE;VARIAS;KRÜGER GMBH & CO.KG;/;/;ALEMANIA;NUTRIMED NUTRICIÓN Y MEDICINA
II;60478;REVIDOX +;VER FORMULA;CÁPSULA;VER FORMULA;LABORATORIOS ADMIRA S.L.;/;ACTAFARMA S.L.U.;ESPAÑA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;60521;DOLITO®;IBUPROFENO;SUSPENSIÓN;100MG/5ML;VITA PHARMA S.A.C.;/;/;PERU;CORMED
II;60522;DON GRIPPA®;PARACETAMOL+FENILEFRINA CL+CLORFENIRAMINA MALEATO;TABLETA RECUBIERTA;500MG+5MG+2MG;VITAPHARMA S.A.C.;/;/;PERU;CORMED
II;60542;STRESS FORMULA;VER FÓRMULA;CÁPSULA;VER FÓRMULA;"ALFA VITAMINS LABORATORIES, NC.
";/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;60631;10 MULTIVITAMINS + 5 MULTIMINERALS EFFERVESCENT TABLETS (TABLETAS EFERVECENTES);SUPLEMENTOS DIETETICOS;TABLETA EFERVESCENTE;varias;KRUGER GMBH & CO. KG.;/;/;ALEMANIA;NUTRIMED NUTRICION Y MEDICINA
NN;60667;VASELINA LÍQUIDA;VASELINA LÍQUIDA;SOLUCIÓN;100%;LABORATORIO GALENICO CALIFAR;/;/;BOLIVIA;CALIFAR
NN;60668;VASELINA SÓLIDA;VASELINA SÓLIDA;PASTA;100%;LABORATORIO GALENICO CALIFAR;/;/;BOLIVIA;CALIFAR
II;60682;DICLOP GEL;DICLOFENACO DIETALAMINA;GEL;1%;PSA INTERNATIONAL (EXPORT DIVISION OF PSA CHEMICALS & PHARMACEUTICALS PVT., LTD).;/;/;INDIA;MHEDICAL PHARMA S.R.L.
II;60754;MOVIAL PLUS;VER FORMULA;CAPSULA;VER FORMULA;LABORATORIOS ADMIRA S.L.;/;ACTAFARMA S.L.U.;ESPAÑA;SOUTH AMERICAN EXPRESS S.A.(SAE S.A.)
II;60889;CORA VIT;ACIDO FOLICO + VITAMINA B6 + VITAMINA B12;CAPSULA DE GELATINA BLAND;5MG+50MG+500MCG;DEFI HEALTHCARE PVT LTD.;/;/;INDIA;SAN FERNANDO S.R.L.
II;60920;EFAGESIC®;DICLOFENACO SÓDICO;COMP.GASTRORRESISTENTE;50MG;WEXFORD LABORATORIES PVT. LTD.;/;LABORATORIOS ALFA S.A;INDIA;LABORATORIOS ALFA S.A.
NN;61103;ANTITUSPAL JARABE;DEXTROMETORFANO BROMHIDRATO;JARABE;10MG/5ML;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
II;61120;ACTRON PEDIÁTRICO 4%;IBUPROFENO;SUSPENSIÓN ORAL;4% (200MG/5ML);BROBEL S.R.L.;/;BAYER S.A. ARGENTINA;ARGENTINA;BAYER BOLIVIANA LTDA
II;61180;DAY BY DAY CALCIUM+VIT D;CARBONATO DE CALCIO + COLECACIFEROL;TABLETA EFERVESCENTE;"500 MG; 5UG";KRÜGER GMBH & CO KG;/;/;ALEMANIA;NUTRIMED NUTRICION Y MEDICINA
NN;61307;LIDOGEL® NF;LIDOCAÍNA CLORHIDRATO;GEL;5%;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
II;61452;TOPIC BUCAL INFANTIL®;BENZOCAINA;SOLUCION;2%;LABORATORIO NEOFARMACO DEL ECUADOR NEOFARMACO CIA.LTD.;/;/;ECUADOR;MEDIFARM S.R.L.
NN;61502;PARACETAMOL JARABE;PARACETAMOL;JARABE;125MG/5ML;INDUSTRIA FARMACEUTICA QR S.R.L.;/;/;BOLIVIA;INDUSTRIA FARMACEUTICA QR S.R.L.
NN;61503;DEXTROMETORFANO;DEXTROMETORFANO BROMHIDRATO;JARABE;10MG/5ML;INDUSTRIA FARMACEUTICA  QR S.R.L.;;;BOLIVIA;INDUSTRIA FARMACEUTICA QR S.R.L.
II;61614;SOY LECITHIN;LECITINA DE SOYA;CAPSULA BLANDA;1200MG;ALFA VITAMINS LABORATORIES INC.;/;/;ESTADOS UNIDOS;A3TEK S.R.L.
II;61615;PADICLO;PARACETAMOL + DICLOFENACO;COMPRIMIDO;50MG + 500MG;DYNAMIC LIFECARE PVT. LTD.;/;/;INDIA;SAN FERNANDO S.R.L.
NN;61624;HEDERASPAL;EXTRACTO DE HOJAS DE HIEDRA DESECADA (HEDERA HELIX);JARABE;35MG/5ML (0.7%);LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
PTA;61676;QUITA TOS;WIRA WIRA;JARABE;10%;LAB. ARTECO VIDAL;/;/;BOLIVIA;LAB ARTECO VIDAL
II;61681;SILKA MEDIC;CLORHIDRATO DE TERBINAFINA;GEL;1 %;LABORATORIO PORTUGAL S.R.L.;/;GENOMMA LAB. PERU S.A.;PERU;GLB LABORATORIOS BOLIVIA S.A.
